,V1,V2,source
107778_SRR12070134,0.000474702,-0.003081224,pig
107779_SRR12070135,0.001758354,-0.001602151,pig
107780_SRR12070136,-0.002527429,-0.00419671,pig
107781_SRR12070137,-0.001540433,-0.005190556,pig
107782_SRR12070138,-0.000329268,-0.005181555,pig
107783_SRR12070139,-0.000254125,2.41E-05,pig
107794_SRR12070150,-0.001425465,1.11E-06,pig
107805_SRR12070161,-0.002332957,-0.003991101,pig
107816_SRR12070172,0.000474128,-0.001218466,pig
107817_SRR12070173,-0.00100821,-0.000161535,pig
107828_SRR12070184,-0.001425328,2.81E-06,pig
107839_SRR12070195,-0.000317562,-0.004001908,pig
107845_SRR12070201,0.000711371,-0.002503077,pig
107846_SRR12070202,0.000211966,-0.00336948,pig
107847_SRR12070203,0.000748393,-0.005100138,pig
107848_SRR12070204,-0.000618028,-0.003306583,pig
107849_SRR12070205,0.000315294,-0.001623661,pig
107850_SRR12070206,0.000484602,-0.003993334,pig
107851_SRR12070207,-0.002365608,-0.010939826,pig
107852_SRR12070208,-0.001968485,-0.001807801,pig
107853_SRR12070209,-0.001897824,-0.004977278,pig
107854_SRR12070210,0.000612274,-0.003048815,pig
107855_SRR12070211,-0.001907909,-0.001873652,pig
107856_SRR12070212,-0.00195495,-0.00560791,pig
107857_SRR12070213,-0.001272135,-0.002498539,pig
107858_SRR12070214,-0.000300975,-0.00158224,pig
107859_SRR12070215,0.000959417,-0.001205889,pig
107860_SRR12070216,0.00074281,-0.002328406,pig
107861_SRR12070217,-0.001989278,-0.001826083,pig
107862_SRR12070218,0.000623643,-0.003592438,pig
107863_SRR12070219,0.000524365,-0.000764576,pig
107864_SRR12070220,-0.0006599,-0.003617778,pig
107865_SRR12070221,0.000965856,-0.004300126,pig
107866_SRR12070222,0.000762417,-0.006531149,pig
107867_SRR12070223,-8.54E-05,-0.005337223,pig
107868_SRR12070224,-0.002182832,-0.001791507,pig
107869_SRR12070225,-0.002135129,-0.001801363,pig
107870_SRR12070226,-0.002036152,-0.001774408,pig
107871_SRR12070227,7.98E-05,-0.00245016,pig
107872_SRR12070228,-0.002060884,-0.001876844,pig
107873_SRR12070229,0.000304792,-0.000610297,pig
107874_SRR12070230,0.001322154,-0.003144488,pig
107875_SRR12070231,-0.001109055,-0.005673135,pig
107876_SRR12070232,-0.001319282,-0.00123143,pig
107877_SRR12070233,-0.001893898,-0.004125248,pig
107878_SRR12070234,-0.002500959,-0.004260444,pig
107879_SRR12070235,-0.000602341,-0.000323575,pig
107880_SRR12070236,-0.000486096,-0.004312443,pig
107881_SRR12070237,-0.000854597,-0.001277746,pig
107882_SRR12070238,-0.002104862,-0.001807214,pig
107883_SRR12070239,0.000964123,-0.001813944,pig
107884_SRR12070240,0.000511186,-0.003324587,pig
107885_SRR12070241,0.000636522,-0.002845824,pig
107886_SRR12070242,-0.000226319,-0.005277882,pig
107887_SRR12070243,0.001440147,-0.00411418,pig
107888_SRR12070244,0.000713637,-0.002835052,pig
107889_SRR12070245,-0.001274999,-0.002704309,pig
107890_SRR12070246,-0.001260746,-0.002710322,pig
107891_SRR12070247,0.002017861,-0.004167434,pig
107892_SRR12070248,-0.002302785,-0.004747573,pig
107893_SRR12070249,-0.000915906,-0.003738746,pig
107894_SRR12070250,-0.000613142,-0.004483633,pig
107895_SRR12070251,-0.002102911,-0.001268449,pig
107896_SRR12070252,0.001442994,-0.004149824,pig
107897_SRR12070253,-0.002059859,-0.001426386,pig
107898_SRR12070254,-0.000327568,-0.002956333,pig
107899_SRR12070255,0.000866456,-0.001129466,pig
107900_SRR12070256,0.000485885,-0.004462287,pig
107901_SRR12070257,-0.001772004,-0.003514991,pig
107902_SRR12070258,0.001401605,-0.003917032,pig
107903_SRR12070259,-0.00080297,-0.002314772,pig
107904_SRR12070260,0.001243808,-0.002975614,pig
107905_SRR12070261,0.001391736,-0.004201831,pig
107906_SRR12070262,0.001559403,-0.003848314,pig
107907_SRR12070263,0.000990338,-0.00506897,pig
107908_SRR12070264,-0.003192632,-0.004351547,pig
107909_SRR12070265,-0.000107327,-0.002752,pig
107910_SRR12070266,0.000691646,-0.002985179,pig
107911_SRR12070267,0.001066308,-0.002499431,pig
107912_SRR12070268,0.000425786,-0.003062812,pig
107913_SRR12070269,0.001115742,-0.001109032,pig
107914_SRR12070270,0.000273796,-0.001159816,pig
107915_SRR12070271,-0.000376458,-0.000551852,pig
107916_SRR12070272,0.001505722,-0.001185718,pig
107917_SRR12070273,0.000331597,-0.001887147,pig
107918_SRR12070274,-0.001931556,-0.004894163,pig
107919_SRR12070275,-0.000459927,-0.004197696,pig
107920_SRR12070276,0.000289764,-0.00274741,pig
107921_SRR12070277,-0.001567272,-0.00101422,pig
107922_SRR12070278,-4.19E-05,-0.001207595,pig
107923_SRR12070279,-7.46E-05,-0.001238105,pig
107924_SRR12070280,0.001880897,-0.002096847,pig
107925_SRR12070281,0.000581555,-0.001289826,pig
107926_SRR12070282,-0.00311656,-0.006826837,pig
107927_SRR12070283,-0.000202965,-0.001411227,pig
107928_SRR12070284,0.000775718,-0.001201114,pig
108342_7691,0.001057847,-5.93E-05,chicken
108343_7692,0.001599004,2.63E-05,chicken
108344_7693,0.000592014,-0.00037321,chicken
108377_7729,0.000878261,0.001022346,chicken
108383_12142,-0.000967294,-0.002477193,human stool
108390_12153,8.33E-05,2.10E-05,chicken
108391_12154,0.000482282,-0.000437809,chicken
108392_12155,0.000500327,-0.000450976,chicken
108393_12156,0.000488249,-0.000383591,chicken
108396_12159,0.000134345,2.01E-05,chicken
108397_12160,0.000573704,-0.000276532,chicken
108398_12161,-2.15E-05,2.97E-05,chicken
108399_12162,0.000461695,-0.000173206,chicken
108400_12163,0.000372383,-0.000134489,chicken
108401_12164,8.48E-05,1.42E-05,chicken
108402_12165,0.000135841,5.10E-06,chicken
108403_12166,0.000134771,2.02E-05,chicken
108404_12167,0.000134345,2.01E-05,chicken
108417_12184,-0.002193753,-0.002936194,pig
108418_12185,0.001414209,-0.003067664,pig
108419_12187,-0.00215856,-0.002944726,pig
108420_12188,-0.001185021,-0.000997727,pig
108453_3043,-0.000772614,3.57E-05,human stool
108459_3049,-0.001068186,-0.000984646,human stool
108479_3070,0.001725425,-0.001178735,human stool
108481_3072,0.002032231,-0.00075195,human stool
108483_3074,0.002005426,-0.000710963,human stool
108486_3077,-0.000509888,-0.000448281,human stool
108491_3082,0.000361769,-0.000250767,human stool
108492_3083,-0.000384129,-6.35E-05,human stool
108494_3085,0.001341195,-0.000939593,human stool
108498_3089,0.001630948,-0.000420274,human stool
108502_3093,-0.000134379,-0.000741883,human stool
108504_3095,-0.001391328,4.64E-05,human stool
108508_3099,-0.000414013,-0.00040068,human stool
108509_3100,0.00063279,-0.001295555,human stool
108587_9396,0.00309787,-0.000544919,human stool
108588_9397,0.001368454,0.002099872,human stool
108592_9401,0.003198163,-0.000983631,human stool
108597_9406,0.011769623,0.008298427,chicken
108623_9432,0.010718574,0.008985607,chicken
108624_9433,0.011662322,0.008994105,chicken
108632_9441,0.002206857,0.000907073,chicken
108633_9443,0.001401596,0.001534955,chicken
108635_9445,0.002899777,0.025358309,chicken
108636_9446,0.004914405,0.025766045,chicken
108638_9448,0.027539058,-0.000972887,chicken
108639_9449,0.00034829,-0.000926595,chicken
108640_9450,0.023206308,0.038679107,chicken
108641_9451,0.001631832,0.021915768,chicken
108642_9452,0.025496064,0.038102237,chicken
108682_CC_060_S,0.001766193,-0.000562315,pig
108683_CC_070_S,-0.000679288,-0.000868809,pig
108684_CC_101_S,-0.000342189,-0.001351383,pig
108685_CC_166_S,0.002131887,-0.003289366,pig
108686_CC_125_S,0.001642534,-0.002058646,pig
108946_KKC284,0.00073436,0.001415152,human stool
108947_KKC287,0.000619103,0.001262162,human stool
108949_KKC330,-0.00032318,-6.49E-05,human stool
108950_KKC289,-0.002246552,0.000400201,human stool
108951_KKC296,-0.068471305,0.001862347,human stool
11051_76339,-0.072445411,-0.000218749,human stool
111044_C57,-0.00099773,7.94E-05,chicken
111045_C75,0.001060313,0.000763945,chicken
111049_M14,-6.88E-05,7.15E-05,chicken
111050_M39,-0.000284097,6.41E-05,chicken
111060_Cc_161_H_16,-6.10E-05,0.001178311,human stool
111061_Cc_174_H_17,0.00294572,-0.000944386,human stool
111063_Cc_200_NH_18,-0.000864897,0.019698909,chicken
111064_Cc_219_H_19,0.001147903,-7.16E-05,human stool
111065_Cc_3939,0.000374922,0.015571355,human stool
111089_Cc_4235,0.000375006,0.000313839,human stool
111090_Cc_4103,-0.069722489,0.001132271,human stool
111099_Cc_4409,-0.000479962,3.70E-05,human stool
111100_Cc_4385,0.000676285,0.001105187,human stool
111101_Cc_4361,-0.001350609,-6.44E-05,human stool
111102_Cc_4358,-0.001325098,-6.08E-05,human stool
111103_Cc_4303,-0.00077818,0.001275707,human stool
111104_Cc_4293,-0.000792759,0.001133431,human stool
111105_Cc_4278,-0.00077818,0.001275707,human stool
111106_Cc_4277,-0.00077818,0.001275707,human stool
111107_Cc_4272,7.10E-05,-0.002634728,human stool
111108_Cc_4264,-0.000436286,-0.000153867,human stool
111109_Cc_4258,0.00265844,-0.000535836,human stool
111110_Cc_4253,-0.000880383,0.019116759,human stool
111111_Cc_4244,0.000406057,0.000522836,human stool
111112_Cc_4242,-0.000496961,-0.000125765,human stool
111113_Cc_4236,-0.000456596,-0.000148577,human stool
111114_Cc_4229,0.000420045,-0.000669687,human stool
111115_Cc_4220,0.000631455,0.001228906,human stool
111116_Cc_4201,0.04211549,-0.017389993,human stool
111117_Cc_4167,1.20E-05,0.000319073,human stool
111118_Cc_4164,0.000281024,0.00209798,human stool
111119_Cc_4145,1.20E-05,0.000319073,human stool
111120_Cc_4065,-0.000749591,0.002126978,human stool
111140_Cc_4120,1.20E-05,0.000319073,human stool
111145_Cc_4122,1.20E-05,0.000319073,human stool
11114_N20344,-0.000139105,-0.00089384,chicken
111154_Cc_4071,0.00018794,0.001524406,human stool
111155_Cc_4114,0.000377608,-0.001281726,human stool
111156_Cc_4217,0.000770845,0.019031098,human stool
111157_Cc_4187,0.002719336,-0.000270725,human stool
111159_Cc_4384,7.08E-05,0.000198867,human stool
111196_GB19_003333,-0.000916047,-0.001093946,pig
111232_CAM4,-0.000631681,0.000841983,human stool
111233_CAM5,-0.000486223,-0.001823326,human stool
111240_CAM14,-0.000254431,-0.00113961,human stool
111466_CTD7,-8.12E-05,0.000897018,chicken
12886_OXC6551,-0.000260432,-0.001281307,human stool
12894_OXC6559,0.001056927,-0.003117995,human stool
12903_OXC6568,-3.72E-05,-0.00018364,human stool
12911_OXC6576,0.000412311,-0.000525186,human stool
12912_OXC6577,-0.00013104,-0.000152114,human stool
12924_OXC6587,-0.001184079,0.000114158,human stool
14404_OXC2034,-7.46E-05,-0.000871345,human stool
14407_OXC2040,0.000582295,-0.000797443,human stool
14408_OXC2041,0.000996588,0.000939478,human stool
14419_OXC2053,-0.001394018,0.00015059,human stool
14432_OXC2069,0.000517064,0.000788714,human stool
14433_OXC2070,0.001355713,0.001007425,human stool
14440_OXC2077,-0.002355367,0.000468664,human stool
14496_OXC2145,-0.001128265,0.000120124,human stool
14513_OXC2172,0.005530578,-0.000312195,human stool
14519_OXC2179,-0.001136433,0.000985434,human stool
14524_OXC2189,0.001859601,0.000532858,human stool
14526_OXC2194,0.000404002,-0.000227194,human stool
14533_OXC2206,-0.000751253,-0.000196591,human stool
14571_OXC2279,0.000984717,-0.002049208,human stool
14572_OXC2280,0.003346559,-0.002994561,human stool
14585_OXC2298,0.000655775,-0.001204389,human stool
14591_OXC2307,0.000394559,-0.002232712,human stool
14597_OXC2313,0.000394559,-0.002232712,human stool
14607_OXC2336,-0.000574351,-0.00036701,human stool
14610_OXC2339,0.000129776,-0.000774284,human stool
14617_OXC2349,-0.001690595,-0.002403385,human stool
14630_OXC2369,0.000735273,0.000977732,human stool
14650_OXC2412,0.001334019,0.000454765,human stool
14657_OXC2419,0.000697669,0.000832193,human stool
14680_OXC2454,0.00079098,0.001044656,human stool
14687_OXC2461,0.001945908,-0.002100119,human stool
14690_OXC2464,0.000535869,0.000574806,human stool
14691_OXC2465,-0.000227918,-0.000311906,human stool
14697_OXC2471,7.32E-05,-0.001041659,human stool
14717_OXC2500,0.002282364,0.000570275,human stool
14722_OXC2507,0.003187002,-0.003529448,human stool
14736_OXC2527,-0.00061819,0.000302601,human stool
14743_OXC2540,0.001136345,0.000716186,human stool
14746_OXC2544,0.00157034,0.000796469,human stool
14753_OXC2553,-0.002785797,-0.000254189,human stool
14757_OXC2558,0.044604245,-0.013272222,human stool
14758_OXC2559,0.001471086,0.000747343,human stool
14762_OXC2563,0.002634873,-0.000641097,human stool
14785_OXC2587,0.000760625,0.00099899,human stool
14786_OXC2588,0.001468344,-0.00157456,human stool
14788_OXC2590,0.000513448,0.000256661,human stool
14799_OXC2603,0.00068202,0.000332374,human stool
14818_OXC2627,0.000118717,0.000878992,human stool
14819_OXC2628,0.000434041,-0.000672476,human stool
14844_OXC2664,0.000785329,0.001119095,human stool
14845_OXC2665,0.000484942,-0.001031858,human stool
14846_OXC2666,-0.000975557,6.17E-05,human stool
14862_OXC2685,0.001182242,-0.000537543,human stool
14866_OXC2691,-0.001593019,-2.75E-05,human stool
14889_OXC2724,0.002528511,-0.000484001,human stool
14953_OXC2813,0.00094197,-9.94E-05,human stool
14956_OXC2818,-0.001147838,-0.00101992,human stool
14969_OXC2838,-0.001764883,2.66E-05,human stool
14974_OXC2844,-0.001107865,-0.000807471,human stool
14995_OXC2874,0.000476866,-0.000331618,human stool
14996_OXC2875,-0.000156341,-0.000541143,human stool
16051_OXC6253,0.000540512,0.000305626,human stool
16055_OXC6258,-0.000217391,0.001131724,human stool
16060_OXC6263,0.000672054,-0.000335356,human stool
16064_OXC6267,0.000538431,0.001916423,human stool
16073_OXC6276,0.000421432,6.81E-05,human stool
16093_OXC6296,0.002661442,0.000453015,human stool
16094_OXC6297,0.001772922,-0.001017513,human stool
16105_OXC6308,0.000996415,0.001043015,human stool
16106_OXC6309,-0.000851705,0.000220261,human stool
16109_OXC6312,0.000967765,0.001050867,human stool
16134_OXC6337,0.000268555,0.0017686,human stool
16135_OXC6338,-0.000792312,0.002115493,human stool
16140_OXC6343,2.96E-05,-0.000227991,human stool
16168_OXC6371,-0.000851705,0.000220261,human stool
16169_OXC6372,0.0012002,-0.002500436,human stool
16173_OXC6376,-0.000851705,0.000220261,human stool
16175_OXC6378,0.001144846,-0.002423821,human stool
16177_OXC6380,0.000306372,-5.10E-05,human stool
16182_OXC6385,-0.00074998,0.002142638,human stool
16183_OXC6386,0.000220005,-8.29E-06,human stool
16192_OXC6395,-0.002360009,0.021935793,human stool
16195_OXC6400,-0.000702083,-0.000106399,human stool
16211_OXC6416,-0.000684345,-0.000356001,human stool
16219_OXC6424,0.000389888,0.000847361,human stool
16220_OXC6425,0.001257648,-1.25E-05,human stool
16221_OXC6426,-0.000734972,-0.000203475,human stool
16223_OXC6428,0.000640791,0.002175317,human stool
16229_OXC6434,0.000684381,-0.000731059,human stool
16236_OXC6442,0.002406748,-0.000457664,human stool
16237_OXC6443,0.002406748,-0.000457664,human stool
16240_OXC6447,0.000836646,0.001163599,human stool
16252_OXC6460,0.001168938,-0.001062735,human stool
16263_OXC6471,0.000743521,0.000959585,human stool
16264_OXC6472,0.000743521,0.000959585,human stool
16266_OXC6474,0.000921867,0.000792929,human stool
16268_OXC6476,0.001197108,-0.001104626,human stool
16296_OXC6504,0.000460571,0.002129386,human stool
16305_OXC6513,0.000321969,0.000155725,human stool
16315_OXC6523,0.000918962,0.000968607,human stool
16329_OXC6537,0.001225657,-0.000987231,human stool
16348_OXC6597,0.000511602,-0.000528442,human stool
16352_OXC6601,-0.001931015,0.000453459,human stool
16379_OXC6630,-0.000750565,-0.00033264,human stool
18208_OXC6651,-0.000439379,0.000282933,human stool
18216_OXC6659,-0.007282142,0.00298701,human stool
18241_OXC6684,-4.34E-05,-0.000240737,human stool
18242_OXC6685,0.000734137,0.000845013,human stool
18262_OXC6705,0.002747602,0.000427445,human stool
18267_OXC6710,-2.19E-05,-0.000745536,human stool
18282_OXC6725,-0.000705905,-0.001677361,human stool
18292_OXC6735,0.000400719,-0.000227339,human stool
18295_OXC6738,0.002027298,0.00024368,human stool
18301_OXC6744,-0.001624181,-0.00399084,human stool
18318_OXC6761,0.00152887,0.000368642,human stool
18319_OXC6762,-0.000177179,-0.000876025,human stool
21157_OXC6984,0.001598114,0.000619935,human stool
21160_OXC6987,-0.001617293,-0.002997324,human stool
21167_OXC6996,0.000734702,0.001003598,human stool
21173_OXC6471R,0.000743521,0.000959585,human stool
21174_OXC6472R,0.000743521,0.000959585,human stool
21181_OXC6576R,0.000412311,-0.000525186,human stool
21192_OXC7110,0.002717052,-0.001691257,human stool
21206_OXC7124,0.000739711,0.000995741,human stool
21211_OXC7130,0.001889485,-7.76E-05,human stool
21212_OXC7131,8.15E-05,-0.001651237,human stool
21235_OXC7154,0.004130537,-0.000389134,human stool
21245_OXC7164,0.001223598,0.000947264,human stool
21310_OXC5172,-0.001274003,-0.000247211,human stool
21328_OXC5348,0.000967987,0.000778413,human stool
21331_OXC5353,0.000770333,0.000372911,human stool
21334_OXC5363,0.000994065,0.000611352,human stool
21337_OXC5370,0.001282545,0.000485471,human stool
21349_OXC5386,-0.000310054,8.18E-05,human stool
21351_OXC5391,0.001432353,-0.00149118,human stool
21386_OXC5441,-0.000852328,0.000873931,human stool
21405_OXC5473,9.10E-05,0.001162709,human stool
21424_OXC5677,-0.000998823,0.000121477,human stool
21427_OXC5681,-0.071022458,0.002210358,human stool
21429_OXC5685,2.42E-05,-0.00025806,human stool
21431_OXC5688,0.000641264,0.001017924,human stool
21443_OXC5705,0.000442794,-0.001258816,human stool
21455_OXC5723,0.000732166,0.001004518,human stool
21469_OXC5742,-0.000478847,-0.000379315,human stool
21484_OXC5763,-0.001963573,6.52E-05,human stool
21489_OXC5768,0.001690678,0.000379549,human stool
21493_OXC5773,0.003774741,3.14E-06,human stool
21566_OXC6847,-0.000269766,0.000695309,human stool
21583_OXC6864,-0.001166567,0.000717751,human stool
21592_OXC6873,-0.000962136,-0.00047589,human stool
22096_OXC6901,0.000530295,0.001226271,human stool
22115_OXC6920,0.001182316,0.001033888,human stool
22130_OXC4611,0.002822842,0.000299488,human stool
22150_OXC4814,0.000692308,0.00101094,human stool
22154_OXC4825,1.94E-05,0.000308655,human stool
22155_OXC4829,-0.000573894,-0.000539911,human stool
22172_OXC4860,0.001282545,0.000485471,human stool
22214_OXC7027,-0.001039644,-0.002005566,human stool
22236_OXC7051,-0.001033926,-0.002025163,human stool
22239_OXC7054,-0.000419559,-0.000623634,human stool
22254_OXC7070,0.000758422,0.001089889,human stool
22266_OXC7082,-0.000419559,-0.000623634,human stool
22267_OXC7083,0.000291479,6.49E-05,human stool
22279_OXC7097,0.000755633,0.000979536,human stool
22283_OXC7241,-0.071905483,-0.003616705,human stool
22285_OXC7243,-0.071913764,-0.003582242,human stool
22286_OXC7244,-0.071905483,-0.003616705,human stool
22300_OXC7259,0.001538422,-0.002497413,human stool
22313_OXC7272,0.00048662,0.001228176,human stool
22342_OXC7301,0.000579274,0.001167038,human stool
22360_OXC7321,0.000773542,0.001147725,human stool
22668_OXC7177,0.001045774,-0.002378722,human stool
22690_OXC7199,0.000450797,0.001110204,human stool
22691_OXC7200,0.00132577,0.00016487,human stool
22704_OXC7213,-0.001347232,-8.19E-05,human stool
22709_OXC7218,-0.000116055,-0.002051157,human stool
22719_OXC7228,0.00059773,1.84E-05,human stool
22728_OXC7238,0.000733412,0.000825146,human stool
22730_OXC7240,-0.000856465,-0.000234312,human stool
23492_OXC5482,0.001220329,0.001048169,human stool
23494_OXC5486,0.001680575,-0.001684133,human stool
23502_OXC5605,0.001378713,0.001814558,human stool
23515_OXC5629,-6.80E-05,5.62E-05,human stool
23521_OXC5635,0.000664815,-0.000707822,human stool
23546_OXC5796,0.000208653,0.000118027,human stool
23558_OXC5810,-0.001320181,0.00051739,human stool
23574_OXC5827,-0.000782387,-0.000368946,human stool
23577_OXC5831,0.002697353,-0.002179097,human stool
23580_OXC5837,0.000775333,0.001014087,human stool
23585_OXC5842,-0.000216538,-0.000681743,human stool
23591_OXC5849,-0.001383793,-0.002933508,human stool
